Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Origin,Food_Supply_Num,Flock_Size_Band,Flock_Size_Num,Flight_Distance_Category,Speed_Category,Altitude_Category,Temperature_Category,Wind_Speed_Category,Visibility_Category,Humidity_Category,Migration_Success_Num,Food_Flock_Interaction,Path,Migration_Behavior_Cluster,Cluster
Osprey,Europe,Forest,Rainy,Seasonal,67.6852,102.2918,64.9539,72.9229,1059.91,22.71,65.31,1912.75,1346.31,16.71,11.35,69.87,1006.67,8.03,Successful,68.73,11,12,7,3,No,1,High,Excellent,No,,Successful,Yes,10.046404693191928,Western,3,Solo,1,Medium,Moderate,Medium,Mild,Low,Low,High,1,3,"67.69,102.29 -> 64.95,72.92",Balanced,0
Ruby-throated Hummingbird,South America,Wetland,Windy,Seasonal,-10.1829,-94.0288,-31.0531,-77.1085,583.53,20.94,72.32,2439.97,1431.59,6.14,22.33,63.56,1013.08,9.87,Unsuccessful,89.37,2,4,5,3,Yes,28,Low,Excellent,Yes,Predator,Unsuccessful,No,,Northern,1,Large,28,Short,High,Medium,Mild,Moderate,Low,Moderate,0,28,"-10.18,-94.03 -> -31.05,-77.11",High-Altitude Fast,3
Monarch Butterfly,North America,Wetland,Windy,Seasonal,-16.9184,-59.4566,-21.2276,-38.5415,3244.4,37.14,105.02,1481.81,430.66,14.77,18.67,66.03,1018.26,16.24,Successful,73.3,5,9,5,3,Yes,20,Medium,Fair,No,,Successful,Yes,4.349207690746853,Western,2,Medium,20,Long,High,Medium,Mild,Moderate,Good,High,1,40,"-16.92,-59.46 -> -21.23,-38.54",Balanced,0
Bar-headed Goose,Africa,Mountain,Clear,Climate,-2.0762,151.104,-19.652,-151.6475,646.67,14.34,56.43,2189.19,1240.19,-4.65,9.03,44.35,1015.52,11.13,Unsuccessful,100.0,6,9,3,2,No,1,Low,Excellent,Yes,Lost Signal,Unsuccessful,No,,Western,1,Solo,1,Short,Moderate,Medium,Cold,Low,Good,Moderate,0,1,"-2.08,151.1 -> -19.65,-151.65",Balanced,0
Ruby-throated Hummingbird,Africa,Forest,Cloudy,Climate,23.4852,-27.982,38.2652,-47.9959,5266.33,132.89,39.24,1395.02,356.0,16.99,27.62,62.93,1027.47,7.19,Successful,60.22,10,11,4,1,No,1,Medium,Good,No,,Successful,Yes,2.5747840646991436,Eastern,2,Solo,1,Very Long,Low,Medium,Mild,Moderate,Low,Moderate,1,2,"23.49,-27.98 -> 38.27,-48.0",Balanced,0
Osprey,Africa,Wetland,Cloudy,Shelter,0.0261,-143.9207,13.4456,172.4764,2371.51,49.78,49.2,1935.36,1047.77,8.2,19.89,77.56,1039.09,6.49,Unsuccessful,74.15,3,4,3,4,No,1,High,Excellent,Yes,Predator,Unsuccessful,No,,Western,3,Solo,1,Medium,Moderate,Medium,Mild,Moderate,Low,High,0,3,"0.03,-143.92 -> 13.45,172.48",Balanced,0
Sandhill Crane,Europe,Coastal,Windy,Climate,-13.7917,-28.4001,-0.0592,-27.1416,6791.91,169.76,40.91,700.18,50.0,21.61,15.73,45.98,1017.06,13.13,Successful,69.74,4,8,5,6,Yes,10,Medium,Good,Yes,Predator,Unsuccessful,No,,Northern,2,Medium,10,Very Long,Moderate,Low,Warm,Moderate,Good,Moderate,0,20,"-13.79,-28.4 -> -0.06,-27.14",High-Risk,2
Barn Swallow,Africa,Mountain,Windy,Seasonal,59.0094,-16.4729,75.0,-23.2799,1016.11,16.73,61.91,2528.14,1852.69,38.39,36.97,32.96,1020.91,1.0,Successful,79.82,2,6,10,4,No,1,Low,Excellent,Yes,Storm,Unsuccessful,No,,Southern,1,Solo,1,Medium,Moderate,High,Hot,High,Poor,Low,0,1,"59.01,-16.47 -> 75.0,-23.28",Balanced,0
European Stork,Europe,Wetland,Cloudy,Climate,-3.6182,94.762,-3.4726,87.0252,1206.3,24.4,68.85,2121.05,1714.72,26.43,19.44,66.77,1005.86,13.92,Successful,73.43,12,4,4,2,No,1,Medium,Good,Yes,Storm,Unsuccessful,No,,Central,2,Solo,1,Medium,Moderate,Medium,Warm,Moderate,Good,High,0,2,"-3.62,94.76 -> -3.47,87.03",Balanced,0
Sandhill Crane,North America,Mountain,Windy,Food,-31.7464,-51.5527,-43.4311,-39.7754,3224.44,70.34,55.85,2265.91,1815.29,11.54,15.7,91.82,1033.76,8.76,Unsuccessful,37.68,6,10,3,5,Yes,23,Medium,Excellent,Yes,Predator,Unsuccessful,No,,Northern,2,Large,23,Long,Moderate,Medium,Mild,Moderate,Low,Very High,0,46,"-31.75,-51.55 -> -43.43,-39.78",Flock-Oriented,1
Monarch Butterfly,North America,Coastal,Cloudy,Breeding,69.5225,-126.9284,68.6085,134.8681,879.4,14.4,41.3,1521.79,1284.3,28.0,16.99,59.57,1035.52,3.82,Successful,75.76,1,4,4,3,Yes,13,High,Excellent,Yes,Storm,Unsuccessful,No,,Central,3,Medium,13,Short,Moderate,Medium,Warm,Moderate,Poor,Moderate,0,39,"69.52,-126.93 -> 68.61,134.87",Balanced,0
Sandhill Crane,South America,Forest,Clear,Seasonal,15.7719,94.5651,-1.8102,55.044,2393.67,53.16,43.89,2111.13,1613.88,20.77,16.69,67.5,1005.02,12.95,Successful,75.38,3,5,3,1,Yes,12,High,Excellent,No,,Successful,Yes,6.606390490758704,Southern,3,Medium,12,Medium,Moderate,Medium,Warm,Moderate,Good,High,1,36,"15.77,94.57 -> -1.81,55.04",Balanced,0
Arctic Tern,South America,Coastal,Rainy,Seasonal,51.3351,-42.39,38.8113,-37.9874,1447.56,32.57,71.81,2753.52,1659.32,23.64,17.11,89.02,1030.18,1.0,Unsuccessful,87.91,7,10,6,3,Yes,16,Medium,Good,No,,Successful,Yes,7.397268575868251,Western,2,Medium,16,Medium,High,High,Warm,Moderate,Poor,Very High,1,32,"51.34,-42.39 -> 38.81,-37.99",High-Altitude Fast,3
Arctic Tern,Africa,Grassland,Cloudy,Seasonal,-14.8891,-159.3917,-14.7494,-162.2551,2580.11,59.16,45.71,1311.25,360.27,16.32,36.82,57.14,1042.87,11.75,Unsuccessful,74.4,6,9,4,3,Yes,13,High,Good,No,,Successful,Yes,3.9929896169799033,Southern,3,Medium,13,Long,Moderate,Medium,Mild,High,Good,Moderate,1,39,"-14.89,-159.39 -> -14.75,-162.26",Balanced,0
Ruby-throated Hummingbird,South America,Coastal,Rainy,Seasonal,-26.0711,112.999,-17.2805,-176.8676,3261.9,41.39,101.22,2293.49,1881.58,27.09,14.67,27.46,1026.67,20.28,Successful,74.54,7,11,7,3,Yes,17,Medium,Excellent,No,,Successful,Yes,3.5089870038022584,Northern,2,Medium,17,Long,High,Medium,Warm,Low,Excellent,Low,1,34,"-26.07,113.0 -> -17.28,-176.87",High-Altitude Fast,3
Bar-headed Goose,Asia,Wetland,Cloudy,Breeding,-31.2492,158.6227,-46.3483,159.0371,1143.25,26.42,37.62,1791.92,1504.08,10.64,41.27,63.3,1030.66,12.89,Unsuccessful,100.0,1,4,3,0,Yes,44,Medium,Good,No,,Successful,Yes,4.792109890997334,Western,2,Large,44,Medium,Low,Medium,Mild,High,Good,Moderate,1,88,"-31.25,158.62 -> -46.35,159.04",Flock-Oriented,1
Monarch Butterfly,South America,Forest,Windy,Shelter,39.4067,157.3378,15.6734,109.9134,995.14,31.9,36.61,2812.11,1914.99,1.52,35.72,69.09,986.48,14.74,Successful,43.63,11,12,2,2,Yes,40,Low,Poor,Yes,Predator,Unsuccessful,No,,Western,1,Large,40,Short,Low,High,Cold,High,Good,High,0,40,"39.41,157.34 -> 15.67,109.91",Balanced,0
European Stork,Asia,Coastal,Windy,Seasonal,65.8329,40.9981,75.0,16.714,748.04,20.07,38.18,1328.08,450.93,12.51,26.71,61.52,1023.15,13.04,Successful,45.49,10,1,4,3,Yes,19,High,Excellent,No,,Successful,Yes,2.2793153117058544,Northern,3,Medium,19,Short,Low,Medium,Mild,Moderate,Good,Moderate,1,57,"65.83,41.0 -> 75.0,16.71",Balanced,0
European Stork,Europe,Mountain,Clear,Breeding,62.6767,-80.3188,46.804,-45.5749,679.9,10.64,77.24,1456.84,429.18,21.01,38.67,42.61,1013.46,12.42,Successful,88.08,3,6,5,2,No,1,Medium,Good,No,,Successful,Yes,2.8815786022439536,Southern,2,Solo,1,Short,High,Medium,Warm,High,Good,Moderate,1,2,"62.68,-80.32 -> 46.8,-45.57",Balanced,0
Sandhill Crane,North America,Wetland,Cloudy,Climate,33.3954,124.8343,35.985,115.985,1131.17,22.73,50.02,2437.29,1633.21,12.91,15.57,60.78,1022.08,18.63,Unsuccessful,50.2,5,9,4,5,Yes,27,High,Good,No,,Successful,Yes,4.028878986161069,Southern,3,Large,27,Medium,Moderate,Medium,Mild,Moderate,Good,Moderate,1,81,"33.4,124.83 -> 35.99,115.98",Flock-Oriented,1
Arctic Tern,Europe,Forest,Stormy,Shelter,35.3737,-109.5066,55.8645,179.3285,1526.27,43.44,48.27,1693.74,1425.15,25.43,28.85,45.42,980.04,3.54,Successful,100.0,2,3,7,4,No,1,High,Fair,Yes,Injury,Unsuccessful,No,,Central,3,Solo,1,Medium,Moderate,Medium,Warm,Moderate,Poor,Moderate,0,3,"35.37,-109.51 -> 55.86,179.33",Balanced,0
Ruby-throated Hummingbird,North America,Coastal,Clear,Food,-21.8805,84.765,-7.3919,108.0994,1119.41,11.85,87.97,2121.36,1030.99,19.79,42.31,58.05,984.55,3.36,Successful,74.43,2,6,5,3,Yes,6,Medium,Good,No,,Successful,Yes,4.571351880406553,Southern,2,Medium,6,Medium,High,Medium,Mild,High,Poor,Moderate,1,12,"-21.88,84.77 -> -7.39,108.1",High-Risk,2
Sandhill Crane,Africa,Mountain,Windy,Breeding,-8.0888,126.5713,2.4876,166.6979,1772.56,127.02,15.0,2294.11,1205.43,13.42,27.48,60.79,966.2,14.25,Successful,96.04,11,12,2,3,No,1,High,Excellent,Yes,Lost Signal,Unsuccessful,No,,Northern,3,Solo,1,Medium,Low,Medium,Mild,Moderate,Good,Moderate,0,3,"-8.09,126.57 -> 2.49,166.7",Balanced,0
Osprey,Asia,Coastal,Rainy,Food,-46.717,145.3645,-27.2138,141.6262,2287.83,40.2,60.56,1938.26,1520.54,18.49,1.15,43.73,1016.41,10.66,Successful,56.89,2,5,4,7,No,1,Medium,Good,Yes,Predator,Unsuccessful,No,,Central,2,Solo,1,Medium,Moderate,Medium,Mild,Low,Good,Moderate,0,2,"-46.72,145.36 -> -27.21,141.63",High-Risk,2
European Stork,Africa,Coastal,Clear,Breeding,15.3604,23.5458,19.5612,4.3644,1127.55,35.18,50.25,684.13,428.17,-10.0,32.66,73.03,1001.17,9.97,Unsuccessful,88.12,5,7,4,1,No,1,High,Good,Yes,Lost Signal,Unsuccessful,No,,Northern,3,Solo,1,Medium,Moderate,Low,Cold,High,Low,High,0,3,"15.36,23.55 -> 19.56,4.36",Balanced,0
Barn Swallow,Africa,Forest,Windy,Breeding,64.8211,155.4173,44.8147,-174.7897,1196.28,17.79,100.05,2232.9,1288.69,23.55,60.61,56.64,997.29,21.02,Unsuccessful,62.54,12,1,2,2,No,1,Low,Good,Yes,Predator,Unsuccessful,No,,Eastern,1,Solo,1,Medium,High,Medium,Warm,Very High,Excellent,Moderate,0,1,"64.82,155.42 -> 44.81,-174.79",High-Altitude Fast,3
Osprey,South America,Wetland,Cloudy,Shelter,28.0301,-157.7966,72.2337,132.4587,2968.12,58.45,46.17,1374.12,694.17,20.14,16.89,46.53,1012.41,14.48,Successful,84.21,4,6,7,2,Yes,19,Medium,Excellent,No,,Successful,Yes,6.2143668790904085,Northern,2,Medium,19,Long,Moderate,Medium,Warm,Moderate,Good,Moderate,1,38,"28.03,-157.8 -> 72.23,132.46",Balanced,0
European Stork,Asia,Coastal,Clear,Shelter,-0.9897,-157.0492,6.9118,-130.542,1877.88,48.56,41.06,829.13,468.19,10.7,27.13,66.78,1006.26,11.46,Successful,100.0,9,12,1,3,Yes,15,High,Excellent,No,,Successful,Yes,5.0622724950691875,Southern,3,Medium,15,Medium,Moderate,Low,Mild,Moderate,Good,High,1,45,"-0.99,-157.05 -> 6.91,-130.54",Balanced,0
Barn Swallow,North America,Coastal,Clear,Shelter,-16.7671,88.9311,-8.2899,90.3613,1385.33,21.62,67.3,2929.24,2180.08,26.64,17.79,46.34,1017.76,8.84,Unsuccessful,63.88,2,3,2,2,No,1,Low,Fair,Yes,Storm,Unsuccessful,No,,Western,1,Solo,1,Medium,Moderate,High,Warm,Moderate,Low,Moderate,0,1,"-16.77,88.93 -> -8.29,90.36",High-Altitude Fast,3
Bar-headed Goose,Africa,Grassland,Windy,Breeding,6.7334,169.2438,9.8129,-159.8144,1061.13,23.2,61.02,2555.85,2186.12,13.67,30.99,77.85,1011.25,19.81,Unsuccessful,41.82,11,2,4,1,Yes,11,High,Good,No,,Successful,Yes,6.039331916412219,Northern,3,Medium,11,Medium,Moderate,High,Mild,High,Good,High,1,33,"6.73,169.24 -> 9.81,-159.81",Balanced,0
Sandhill Crane,Asia,Grassland,Windy,Shelter,-11.7889,-119.7693,-42.4992,-159.3586,2483.58,41.01,65.53,1016.44,418.84,19.43,26.19,39.9,1003.42,13.42,Unsuccessful,65.71,12,3,1,3,Yes,29,Low,Excellent,Yes,Injury,Unsuccessful,No,,Western,1,Large,29,Medium,Moderate,Medium,Mild,Moderate,Good,Moderate,0,29,"-11.79,-119.77 -> -42.5,-159.36",Balanced,0
Bar-headed Goose,Asia,Forest,Cloudy,Food,60.607,-42.6782,44.8363,-44.7061,1317.16,20.46,47.91,279.46,50.0,14.79,3.4,76.7,1005.86,8.67,Unsuccessful,82.19,11,3,4,0,Yes,23,Medium,Good,Yes,Injury,Unsuccessful,No,,Eastern,2,Large,23,Medium,Moderate,Low,Mild,Low,Low,High,0,46,"60.61,-42.68 -> 44.84,-44.71",Flock-Oriented,1
Barn Swallow,Africa,Grassland,Clear,Food,33.7061,165.2634,63.1431,-160.6671,528.78,12.01,44.13,1645.96,1149.18,2.29,10.41,45.65,1049.85,17.13,Unsuccessful,90.99,8,11,5,2,Yes,12,Medium,Good,Yes,Predator,Unsuccessful,No,,Western,2,Medium,12,Short,Moderate,Medium,Cold,Low,Good,Moderate,0,24,"33.71,165.26 -> 63.14,-160.67",Balanced,0
Osprey,Africa,Forest,Clear,Breeding,-22.418,126.4061,-57.1477,145.6309,496.89,12.31,38.29,2888.13,2559.76,14.99,23.32,32.03,1050.0,11.61,Successful,100.0,12,3,2,1,No,1,Low,Fair,Yes,Predator,Unsuccessful,No,,Northern,1,Solo,1,Short,Low,High,Mild,Moderate,Good,Low,0,1,"-22.42,126.41 -> -57.15,145.63",Balanced,0
Barn Swallow,Africa,Grassland,Rainy,Breeding,-0.5344,-30.3006,-2.7199,-117.5933,980.8,18.39,59.89,1161.25,646.52,1.86,23.05,42.74,1019.42,9.72,Successful,64.64,9,1,4,1,No,1,High,Good,Yes,Injury,Unsuccessful,No,,Southern,3,Solo,1,Short,Moderate,Medium,Cold,Moderate,Low,Moderate,0,3,"-0.53,-30.3 -> -2.72,-117.59",Balanced,0
Sandhill Crane,North America,Wetland,Cloudy,Shelter,-53.4028,132.8057,-48.6128,162.6845,871.4,18.92,58.26,1510.37,490.89,18.36,12.52,61.59,1014.71,5.6,Successful,77.12,5,6,1,2,Yes,25,Low,Good,Yes,Lost Signal,Unsuccessful,No,,Northern,1,Large,25,Short,Moderate,Medium,Mild,Low,Low,Moderate,0,25,"-53.4,132.81 -> -48.61,162.68",Balanced,0
Ruby-throated Hummingbird,North America,Coastal,Cloudy,Seasonal,-52.2734,-16.6375,-58.6476,20.6807,1561.07,31.79,61.5,1089.8,113.38,18.7,35.17,33.82,1007.12,18.07,Successful,69.47,11,3,3,3,Yes,19,High,Good,No,,Successful,Yes,3.3687895000788455,Central,3,Medium,19,Medium,Moderate,Medium,Mild,High,Good,Low,1,57,"-52.27,-16.64 -> -58.65,20.68",Balanced,0
Sandhill Crane,Africa,Forest,Cloudy,Seasonal,0.6587,-54.6359,37.0145,-39.8423,544.41,10.94,99.15,2013.25,1751.57,21.71,13.62,58.19,1013.42,7.11,Unsuccessful,46.94,4,8,4,0,No,1,High,Excellent,No,,Successful,Yes,5.387151115366902,Central,3,Solo,1,Short,High,Medium,Warm,Low,Low,Moderate,1,3,"0.66,-54.64 -> 37.01,-39.84",Balanced,0
Sandhill Crane,South America,Coastal,Cloudy,Shelter,-0.408,29.7786,-28.1481,32.2727,1554.14,6.31,82.95,1731.85,1428.67,11.24,44.44,57.86,1029.49,14.81,Successful,88.6,11,3,5,1,No,1,Medium,Good,No,,Successful,Yes,7.414001635998398,Eastern,2,Solo,1,Medium,High,Medium,Mild,High,Good,Moderate,1,2,"-0.41,29.78 -> -28.15,32.27",High-Risk,2
Barn Swallow,Europe,Grassland,Rainy,Seasonal,-53.5228,-75.2823,-66.6694,-40.0719,883.59,21.52,54.31,1287.57,1018.63,8.62,53.89,41.89,1029.78,12.79,Successful,100.0,12,4,2,5,Yes,41,High,Good,Yes,Predator,Unsuccessful,No,,Eastern,3,Large,41,Short,Moderate,Medium,Mild,Very High,Good,Moderate,0,123,"-53.52,-75.28 -> -66.67,-40.07",Flock-Oriented,1
Barn Swallow,North America,Mountain,Rainy,Climate,-9.1262,53.3668,-3.3818,57.7306,2669.15,67.21,46.85,829.23,50.0,21.16,37.77,61.82,1036.64,12.85,Unsuccessful,50.77,6,10,2,1,Yes,57,Medium,Excellent,Yes,Storm,Unsuccessful,No,,Northern,2,Very Large,57,Long,Moderate,Low,Warm,High,Good,Moderate,0,114,"-9.13,53.37 -> -3.38,57.73",Flock-Oriented,1
Bar-headed Goose,Asia,Forest,Clear,Food,-21.0226,-71.1636,-13.9317,-133.3739,994.34,15.88,77.4,1954.48,1371.89,-2.31,16.95,63.48,999.12,17.02,Unsuccessful,72.41,3,6,2,3,No,1,High,Poor,Yes,Food Shortage,Unsuccessful,No,,Central,3,Solo,1,Short,High,Medium,Cold,Moderate,Good,Moderate,0,3,"-21.02,-71.16 -> -13.93,-133.37",Balanced,0
European Stork,Africa,Forest,Cloudy,Food,-20.044,2.5844,-18.2842,-23.1131,2451.98,34.06,68.75,2358.69,2117.23,19.54,31.44,66.84,1011.47,11.99,Unsuccessful,79.89,2,6,3,5,Yes,93,High,Good,No,,Successful,Yes,7.10931577557194,Western,3,Very Large,93,Medium,Moderate,Medium,Mild,High,Good,High,1,279,"-20.04,2.58 -> -18.28,-23.11",High-Altitude Fast,3
Sandhill Crane,Africa,Forest,Cloudy,Shelter,-12.9058,92.8057,-8.0843,146.9906,1444.39,20.56,60.89,1426.76,793.35,28.26,20.17,45.54,1009.87,11.84,Unsuccessful,87.22,7,9,4,1,Yes,22,Medium,Fair,Yes,Injury,Unsuccessful,No,,Northern,2,Large,22,Medium,Moderate,Medium,Warm,Moderate,Good,Moderate,0,44,"-12.91,92.81 -> -8.08,146.99",Flock-Oriented,1
Osprey,Europe,Coastal,Rainy,Climate,19.7442,123.2737,8.2118,115.0262,1150.73,24.44,67.46,2215.29,1403.1,13.97,27.91,94.99,1034.65,14.03,Successful,75.88,9,10,6,3,Yes,93,High,Good,No,,Successful,Yes,10.195726591846974,Eastern,3,Very Large,93,Medium,Moderate,Medium,Mild,Moderate,Good,Very High,1,279,"19.74,123.27 -> 8.21,115.03",High-Altitude Fast,3
Osprey,Asia,Wetland,Clear,Shelter,35.5548,-156.3308,29.3889,-148.1858,743.58,24.03,37.28,1755.97,1512.54,27.92,8.16,56.51,998.94,11.45,Successful,76.4,8,9,8,2,No,1,Medium,Good,Yes,Predator,Unsuccessful,No,,Northern,2,Solo,1,Short,Low,Medium,Warm,Low,Good,Moderate,0,2,"35.55,-156.33 -> 29.39,-148.19",Balanced,0
Sandhill Crane,Europe,Coastal,Clear,Food,-6.0404,76.7002,-24.9848,18.2685,963.15,12.42,69.97,3104.43,2288.07,20.96,11.24,32.54,1029.83,14.28,Unsuccessful,41.8,8,9,3,1,Yes,44,Medium,Excellent,No,,Successful,Yes,1.6931866542855127,Eastern,2,Large,44,Short,Moderate,High,Warm,Low,Good,Low,1,88,"-6.04,76.7 -> -24.98,18.27",High-Altitude Fast,3
Osprey,Europe,Mountain,Rainy,Seasonal,67.702,132.0816,74.8316,151.0412,3188.96,73.34,45.37,2688.37,1950.35,29.39,3.84,77.39,995.53,10.5,Successful,100.0,1,4,5,3,Yes,19,High,Excellent,Yes,Storm,Unsuccessful,No,,Western,3,Medium,19,Long,Moderate,High,Warm,Low,Good,High,0,57,"67.7,132.08 -> 74.83,151.04",Balanced,0
European Stork,Europe,Coastal,Clear,Breeding,17.7458,80.4065,-12.9478,101.5389,1420.53,26.55,52.77,2081.43,1082.51,22.9,41.14,68.11,987.97,12.13,Successful,85.21,1,3,2,3,Yes,28,Medium,Excellent,No,,Successful,Yes,6.151164167029574,Southern,2,Large,28,Medium,Moderate,Medium,Warm,High,Good,High,1,56,"17.75,80.41 -> -12.95,101.54",Flock-Oriented,1
European Stork,Africa,Wetland,Rainy,Breeding,31.663,-91.6694,7.0267,-11.6527,932.67,13.04,68.51,1852.64,1067.42,15.13,26.69,45.26,997.9,14.25,Successful,51.69,4,8,2,1,No,1,Low,Good,Yes,Storm,Unsuccessful,No,,Eastern,1,Solo,1,Short,Moderate,Medium,Mild,Moderate,Good,Moderate,0,1,"31.66,-91.67 -> 7.03,-11.65",Balanced,0
Monarch Butterfly,South America,Grassland,Cloudy,Seasonal,1.554,83.8741,17.308,112.1142,1776.67,27.01,71.72,1872.68,995.85,17.35,9.1,51.25,1004.43,14.12,Successful,72.98,11,1,4,4,Yes,8,Medium,Excellent,No,,Successful,Yes,3.094260533724017,Western,2,Medium,8,Medium,High,Medium,Mild,Low,Good,Moderate,1,16,"1.55,83.87 -> 17.31,112.11",Balanced,0
Arctic Tern,Europe,Grassland,Clear,Climate,62.4456,103.5919,51.7624,137.4517,1149.34,69.04,17.45,1805.44,1164.43,12.43,49.22,57.02,1018.5,15.08,Successful,76.85,7,11,6,2,Yes,34,Medium,Fair,No,,Successful,Yes,3.0809541063613777,Northern,2,Large,34,Medium,Low,Medium,Mild,High,Good,Moderate,1,68,"62.45,103.59 -> 51.76,137.45",Flock-Oriented,1
Osprey,Asia,Forest,Rainy,Food,12.3447,-108.9157,55.7154,-172.5818,1012.62,9.6,84.02,1733.22,1429.1,10.57,41.09,41.75,996.04,11.69,Unsuccessful,88.46,5,9,3,3,Yes,16,Low,Excellent,Yes,Food Shortage,Unsuccessful,No,,Northern,1,Medium,16,Medium,High,Medium,Mild,High,Good,Moderate,0,16,"12.34,-108.92 -> 55.72,-172.58",High-Risk,2
Osprey,Europe,Grassland,Cloudy,Shelter,38.1133,139.9798,29.7215,120.4502,1185.02,16.28,72.35,643.24,50.0,22.06,31.66,65.92,1007.49,14.5,Successful,79.12,8,10,5,1,Yes,35,Medium,Good,No,,Successful,Yes,6.026387611932957,Eastern,2,Large,35,Medium,High,Low,Warm,High,Good,High,1,70,"38.11,139.98 -> 29.72,120.45",Flock-Oriented,1
Osprey,North America,Coastal,Clear,Seasonal,10.0948,-77.3734,1.8036,-3.2706,2534.79,74.9,40.5,2931.8,2452.63,17.14,13.18,68.37,1018.63,8.76,Successful,65.35,6,9,2,1,No,1,Low,Good,Yes,Storm,Unsuccessful,No,,Eastern,1,Solo,1,Long,Moderate,High,Mild,Low,Low,High,0,1,"10.09,-77.37 -> 1.8,-3.27",Balanced,0
Monarch Butterfly,South America,Mountain,Windy,Breeding,53.4126,151.7963,75.0,-176.5252,1466.41,27.1,47.93,1034.08,50.0,11.24,29.42,76.43,1043.0,22.59,Successful,53.31,2,5,5,2,Yes,13,Low,Good,Yes,Food Shortage,Unsuccessful,No,,Southern,1,Medium,13,Medium,Moderate,Medium,Mild,Moderate,Excellent,High,0,13,"53.41,151.8 -> 75.0,-176.53",Balanced,0
Ruby-throated Hummingbird,Asia,Forest,Cloudy,Seasonal,40.6013,-0.1533,58.1939,16.7804,2195.69,40.3,59.35,2664.83,1643.61,28.41,6.86,30.5,1044.36,17.03,Unsuccessful,55.19,7,11,3,1,Yes,15,High,Fair,No,,Successful,Yes,5.487924868828138,Eastern,3,Medium,15,Medium,Moderate,High,Warm,Low,Good,Low,1,45,"40.6,-0.15 -> 58.19,16.78",Balanced,0
Sandhill Crane,Asia,Forest,Windy,Food,48.1348,-126.0084,44.5937,-61.953,1176.65,29.78,48.62,1072.62,233.03,22.14,6.45,57.79,982.23,4.26,Successful,56.99,9,11,2,2,Yes,24,Medium,Good,Yes,Storm,Unsuccessful,No,,Northern,2,Large,24,Medium,Moderate,Medium,Warm,Low,Poor,Moderate,0,48,"48.13,-126.01 -> 44.59,-61.95",Flock-Oriented,1
Monarch Butterfly,Asia,Forest,Clear,Climate,-47.1163,70.53,-48.7926,41.1944,1063.19,31.79,31.93,1520.12,1141.12,-5.92,49.59,52.58,1015.31,10.63,Successful,86.68,11,1,5,3,Yes,13,High,Good,Yes,Storm,Unsuccessful,No,,Western,3,Medium,13,Medium,Low,Medium,Cold,High,Good,Moderate,0,39,"-47.12,70.53 -> -48.79,41.19",High-Risk,2
European Stork,Africa,Grassland,Windy,Climate,16.544,22.8693,34.6171,36.419,3344.62,83.36,39.56,1861.9,896.39,23.16,21.0,47.65,998.42,13.09,Unsuccessful,59.25,5,9,0,3,Yes,4,Medium,Good,No,,Successful,Yes,4.494112907027007,Western,2,Small,4,Long,Low,Medium,Warm,Moderate,Good,Moderate,1,8,"16.54,22.87 -> 34.62,36.42",Balanced,0
Arctic Tern,Asia,Grassland,Windy,Breeding,10.3551,89.3592,13.9757,106.6327,830.92,10.06,67.51,1865.85,1501.14,11.24,19.75,75.2,986.56,10.11,Successful,77.12,3,7,6,2,No,1,High,Good,No,,Successful,Yes,7.108826868584858,Southern,3,Solo,1,Short,Moderate,Medium,Mild,Moderate,Good,High,1,3,"10.36,89.36 -> 13.98,106.63",Balanced,0
Ruby-throated Hummingbird,Europe,Coastal,Clear,Climate,-6.2922,-68.4187,-12.3195,-72.8958,1255.59,30.53,36.39,810.82,297.3,27.13,13.59,70.72,1023.38,16.28,Successful,82.54,11,12,6,3,Yes,13,High,Fair,No,,Successful,Yes,5.579295830976827,Western,3,Medium,13,Medium,Low,Low,Warm,Low,Good,High,1,39,"-6.29,-68.42 -> -12.32,-72.9",Balanced,0
Sandhill Crane,South America,Forest,Rainy,Shelter,-20.2818,-150.6121,-23.6082,159.7913,2765.05,61.53,54.33,2350.95,1830.0,25.6,20.56,60.49,988.83,5.75,Successful,55.81,5,6,4,1,Yes,5,Medium,Fair,Yes,Injury,Unsuccessful,No,,Southern,2,Small,5,Long,Moderate,Medium,Warm,Moderate,Low,Moderate,0,10,"-20.28,-150.61 -> -23.61,159.79",Balanced,0
Osprey,South America,Forest,Rainy,Food,47.1943,-111.4159,75.0,-58.9325,1160.18,17.65,63.51,1431.08,1153.46,28.36,39.84,59.11,1038.78,10.98,Successful,64.59,2,6,3,4,Yes,22,Low,Excellent,Yes,Storm,Unsuccessful,No,,Southern,1,Large,22,Medium,Moderate,Medium,Warm,High,Good,Moderate,0,22,"47.19,-111.42 -> 75.0,-58.93",Balanced,0
